"paragraph","error_message","polarity_class","polarity_score","emotion"
"সময় আসবে তোমাকে চিড়িয়াখানায় রাখার ব্যবস্থা",,"weaklyPositive",0.5776417016983033,"{""neutral"":0.042916227132081985,""happy"":0.013336657546460629,""anger/disgust"":0.9126933813095093,""sadness"":0.04538872465491295,""surprise"":0.007504672277718782,""fear"":0.005885251797735691}"
"মামা বাসায় চান্দিতে তেল",,"neutral",-0.19995959997177126,"{""neutral"":0.9513305425643921,""happy"":0.013617901131510735,""anger/disgust"":0.03721194714307785,""sadness"":0.005618107505142689,""surprise"":0.02277471497654915,""fear"":0.002950123744085431}"
"তর বাপ কাউয়া কাদের বলছে শুনে দেখ",,"stronglyNegative",-0.9749099493026734,"{""neutral"":0.00023420213256031275,""happy"":0.00017369909619446844,""anger/disgust"":0.9994702935218811,""sadness"":0.0010631198529154062,""surprise"":0.0006748056621290743,""fear"":0.00002738378316280432}"
"আপনাদের বাপ কাউয়া গতকাল ১ লোক হয়েছে",,"stronglyNegative",-0.9985059499740601,"{""neutral"":0.00016954551392700523,""happy"":0.00020217204291839153,""anger/disgust"":0.9997692704200745,""sadness"":0.0006637017359025776,""surprise"":0.0006495059933513403,""fear"":0.000016817568393889815}"
"ছাগলের কথা এঠি অমানুষ যিবনে কমিনা দেখেচি কিন্ত এরকম র্নিলজ্জঅ কমিনা দেখিনাই",,"stronglyNegative",-0.999927306175232,"{""neutral"":0.004710560664534569,""happy"":0.00662282295525074,""anger/disgust"":0.9289898872375488,""sadness"":0.13075311481952667,""surprise"":0.03869060054421425,""fear"":0.007383330725133419}"
"মাথার চুল উড়ে",,"weaklyNegative",-0.597821569442749,"{""neutral"":0.007525435648858547,""happy"":0.0014151103096082807,""anger/disgust"":0.005811817944049835,""sadness"":0.9795101284980774,""surprise"":0.010015579871833324,""fear"":0.016065889969468117}"
"তোদের জুতা দিয়ে বাইরালে মানুষ হয়বিবতার",,"stronglyNegative",-0.9999320983886719,"{""neutral"":0.00017632482922635972,""happy"":0.00025852007092908025,""anger/disgust"":0.9996614456176758,""sadness"":0.001181593630462885,""surprise"":0.00041208212496712804,""fear"":0.00002462297743477393}"
"জনাব আপনাদের ছোট করেনা আপনারাই আপনাদের ছোট হাস্যরসিক হিসেবে উপস্থাপন",,"weaklyPositive",0.5852785825729371,"{""neutral"":0.09788068383932114,""happy"":0.7507914304733276,""anger/disgust"":0.14075827598571777,""sadness"":0.011165104806423187,""surprise"":0.01223711296916008,""fear"":0.0012236114125698805}"
"ষার এইবার ডবল প্রমোশন ইনশাআল্লাহ",,"stronglyPositive",0.9991086721420289,"{""neutral"":0.015772949904203415,""happy"":0.9800542593002319,""anger/disgust"":0.007243742700666189,""sadness"":0.001421710359863937,""surprise"":0.002396125579252839,""fear"":0.00040110998088493943}"
"মাননীয় মন্ত্রী মহোদয় এন সমাবেশ ফ্লপ দলের আলোচনা সমালোচনা দেখেই বোঝা ফ্লপ আলোচনা সমালোচনা করতেন ধন্যবাদ ভালো",,"weaklyPositive",0.5995731115341187,"{""neutral"":0.023049255833029747,""happy"":0.8774240016937256,""anger/disgust"":0.24208681285381317,""sadness"":0.06421615928411484,""surprise"":0.0047774347476661205,""fear"":0.003668533405289054}"
"মত সম্ভ্রান্ত পরিবারের সদস্যের মুখে কথা বেমানান ধন্যবাদ ভালো",,"stronglyPositive",0.7592703700065614,"{""neutral"":0.007458843290805817,""happy"":0.4104909598827362,""anger/disgust"":0.6433732509613037,""sadness"":0.01969473995268345,""surprise"":0.05716458708047867,""fear"":0.0007086066761985421}"
"মানুষিক রোগী কতোকিছু বলবে",,"neutral",-0.1999711036682129,"{""neutral"":0.20263226330280304,""happy"":0.005134912673383951,""anger/disgust"":0.15999966859817505,""sadness"":0.3826298713684082,""surprise"":0.042244572192430496,""fear"":0.2809008061885834}"
"মিথ্যা বাদী নেতাদের দোজখে জায়গা চরম মিথ্যা বাদী চরম বেয়াদব",,"stronglyNegative",-0.9999377727508545,"{""neutral"":0.00047932006418704987,""happy"":0.0012109361123293638,""anger/disgust"":0.9976041913032532,""sadness"":0.005309993401169777,""surprise"":0.0005612756940536201,""fear"":0.000269338401267305}"
