"paragraph","error_message","polarity_class","polarity_score","emotion"
"শুভ কামনা রইল বিএনপি",,"weaklyPositive",0.5999497413635255,"{""neutral"":0.010309098288416862,""happy"":0.9907656908035278,""anger/disgust"":0.0010989661095663905,""sadness"":0.0007492778822779655,""surprise"":0.0003517776494845748,""fear"":0.00013493730511981994}"
"আলহামদুলিল্লাহ জয় বিএনপি পাশেই আসবে",,"stronglyPositive",0.9997512817382814,"{""neutral"":0.0013495595194399357,""happy"":0.9984637498855591,""anger/disgust"":0.000714239024091512,""sadness"":0.0005511036142706871,""surprise"":0.0009922878816723824,""fear"":0.00009075201523955911}"
"মানুষ কই খালি মাঠ ইসলামী আন্দোলন সামাবেশ চাইতে বড় খবর হাইরে রাজাকারের দল",,"stronglyNegative",-0.9999372482299804,"{""neutral"":0.00026864849496632814,""happy"":0.00026048478321172297,""anger/disgust"":0.9990135431289673,""sadness"":0.003871898865327239,""surprise"":0.000512311642523855,""fear"":0.00006686173583148047}"
"ভালো আন্দোলনের নামে ভাঙচুর ধোলাই দরকার",,"weaklyNegative",-0.5766854047775268,"{""neutral"":0.00045309713459573686,""happy"":0.00043717704829759896,""anger/disgust"":0.9992554783821106,""sadness"":0.0015461838338524103,""surprise"":0.0007916201720945537,""fear"":0.000052159321057843044}"
"এখনই সময় সন্ত্রাসী বাহিনীকে হটানো",,"stronglyPositive",0.9824377775192261,"{""neutral"":0.018906522542238235,""happy"":0.004654780961573124,""anger/disgust"":0.9558368921279907,""sadness"":0.02968713268637657,""surprise"":0.004000985063612461,""fear"":0.007874147035181522}"
"আম্বালীগ মাঠে ছিলো নি",,"weaklyNegative",-0.5998876333236693,"{""neutral"":0.31613394618034363,""happy"":0.005813688971102238,""anger/disgust"":0.3350133001804352,""sadness"":0.29070183634757996,""surprise"":0.006061956752091646,""fear"":0.006036505568772554}"
"আল্লাহ সবাই হেপাজত করুন আমিন",,"weaklyPositive",0.5987805843353272,"{""neutral"":0.05685926228761673,""happy"":0.39966103434562683,""anger/disgust"":0.0021901149302721024,""sadness"":0.12987171113491058,""surprise"":0.001243239501491189,""fear"":0.14804603159427643}"
"অবৈধ হাসিনার শেষ বাংলাদেশ",,"stronglyNegative",-0.9996679782867431,"{""neutral"":0.009569920599460602,""happy"":0.012615377083420753,""anger/disgust"":0.9644775390625,""sadness"":0.04555421322584152,""surprise"":0.005338840652257204,""fear"":0.004709083121269941}"
"বাস কোথায় বাঁশ ডলার বিকল্প",,"neutral",-0.199985408782959,"{""neutral"":0.9756180644035339,""happy"":0.0014082574052736163,""anger/disgust"":0.02949579805135727,""sadness"":0.005919222719967365,""surprise"":0.005429071839898825,""fear"":0.0026915068738162518}"
"খেলা খেলা",,"neutral",0.1993514895439148,"{""neutral"":0.7714400291442871,""happy"":0.16921794414520264,""anger/disgust"":0.04525156691670418,""sadness"":0.0024664115626364946,""surprise"":0.005508302245289087,""fear"":0.0007243137224577367}"
"কনটেন্ট এস্পেলিং ভুল সমাবশে নাহ সমাবেশে",,"weaklyNegative",-0.5997986793518066,"{""neutral"":0.01709187775850296,""happy"":0.004767514765262604,""anger/disgust"":0.1345575898885727,""sadness"":0.9088762402534485,""surprise"":0.010977387428283691,""fear"":0.019645899534225464}"
"সারাদিন গণপরিবহন বন্ধ হামলা করেও মানুষকে আটকাতে পারলো আওয়ামীলীগ",,"stronglyNegative",-0.9999494552612305,"{""neutral"":0.001525063649751246,""happy"":0.0006491646636277437,""anger/disgust"":0.9882344007492065,""sadness"":0.03785194084048271,""surprise"":0.004302984103560448,""fear"":0.003329018596559763}"
"২০২৪ সালে হাসিনা সহো আওয়ামী লীগের সিলংকার জাইংগা খোলা ঘর টেনে হিসরে বের মারা আওয়ামী লীগ দের",,"stronglyNegative",-0.9999008893966674,"{""neutral"":0.0003442707529757172,""happy"":0.000304915476590395,""anger/disgust"":0.9988625049591064,""sadness"":0.004810631275177002,""surprise"":0.0006350617040880024,""fear"":0.00017936798394657671}"
"এন নেতাদেন বলছি উপযুক্ত সময় মাজা শক্ত রাজপথে বাঙালি ৭০ শেখ হাসিনাকে চায়না সুয়োগ মিস",,"stronglyNegative",-0.9997417211532593,"{""neutral"":0.012621205300092697,""happy"":0.012540249153971672,""anger/disgust"":0.9412357211112976,""sadness"":0.08048591762781143,""surprise"":0.004453057423233986,""fear"":0.011060887947678566}"
"বড় জোর ৫ ১০ মানুষ বিএনপি স ন্ত্রাস বাহিনী জনগণ মুখ ফিরিয়ে নিচ্ছে বহিঃপ্রকাশ ধন্যবাদ চট্টগ্রাম বাসীকে",,"stronglyPositive",0.8814855337142946,"{""neutral"":0.01606883853673935,""happy"":0.3556540012359619,""anger/disgust"":0.8031402826309204,""sadness"":0.13705411553382874,""surprise"":0.008963659405708313,""fear"":0.009375023655593395}"
"অভিযোগ বলছেন আপনাদের সাংবাদিক গুলো চোখ বন্ধ রাখে",,"stronglyNegative",-0.9982389688491822,"{""neutral"":0.0005965220625512302,""happy"":0.0001967680873349309,""anger/disgust"":0.9983310103416443,""sadness"":0.0045466641895473,""surprise"":0.002095176838338375,""fear"":0.00017812517762649804}"
