"paragraph","error_message","polarity_class","polarity_score","emotion"
"আমলে অর্ধেক মানুষকেও চাকরি বিএনপির নেতারা ভাষণ দেয়",,"stronglyNegative",-0.9997682094573974,"{""neutral"":0.00046187828411348164,""happy"":0.00011872976028826088,""anger/disgust"":0.9988736510276794,""sadness"":0.003358390647917986,""surprise"":0.002903683576732874,""fear"":0.0001851575798355043}"
"হটাও মাফিয়া বাচাও দেশে",,"stronglyNegative",-0.9578799247741699,"{""neutral"":0.0005295112496241927,""happy"":0.00016553024761378765,""anger/disgust"":0.9985049962997437,""sadness"":0.003576004644855857,""surprise"":0.00048123556189239025,""fear"":0.00013250410847831517}"
"হ্যাঁ খালেদা জিয়া ছাত্রদল ক্যাডারদের চাকরি দিছেন পরীক্ষা ছাড়াই",,"weaklyNegative",-0.5995160341262817,"{""neutral"":0.0009743450791575015,""happy"":0.00015982244804035872,""anger/disgust"":0.9985945820808411,""sadness"":0.0016065959352999926,""surprise"":0.002456428250297904,""fear"":0.000073648763645906}"
"বিএনপি ক্ষমতায় থাকলে এতদিনে খেয়ে মরতে হতো বাংলাদেশের মানুষের",,"stronglyNegative",-0.9985862731933594,"{""neutral"":0.002635728335008025,""happy"":0.0004605200665537268,""anger/disgust"":0.5424522757530212,""sadness"":0.6571592688560486,""surprise"":0.0027619870379567146,""fear"":0.0634584128856659}"
"দুইটা অর্জন আশা আসছে বিএনপির ডেট এক্সপায়ার্ড নেতারা",,"weaklyNegative",-0.5935137271881104,"{""neutral"":0.0596158467233181,""happy"":0.1588733047246933,""anger/disgust"":0.790141224861145,""sadness"":0.11874709278345108,""surprise"":0.019821742549538612,""fear"":0.00843410287052393}"
"শীত আসতে পাগলের আমদানি আগমন বিএনপি জারজ অবৈধ সংগঠন গাঞ্জা খোর সংগঠন",,"stronglyNegative",-0.9999384880065918,"{""neutral"":0.00018673909653443843,""happy"":0.00020613591186702251,""anger/disgust"":0.9996695518493652,""sadness"":0.0017916817450895905,""surprise"":0.0005328491097316146,""fear"":0.00004281552173779346}"
"বিএনপি ক্ষমতায় এলে দুর্নীতিতে চ্যাম্পিয়ন হবো",,"stronglyNegative",-0.999898362159729,"{""neutral"":0.001973725389689207,""happy"":0.0010977099882438779,""anger/disgust"":0.9801745414733887,""sadness"":0.0560750886797905,""surprise"":0.0017862491076812148,""fear"":0.00754081504419446}"
"আন্দোলনের নামে সহিংসতা জবাব দেবে আ লীগ",,"weaklyNegative",-0.5998144626617432,"{""neutral"":0.005227259360253811,""happy"":0.006069773342460394,""anger/disgust"":0.9890480637550354,""sadness"":0.012552495114505291,""surprise"":0.0038735305424779654,""fear"":0.0016300458228215575}"
"বিএনপি আন্দোলনের নামে সহিংসতা আওয়ামী লীগ সমুচিত জবাব দেবে",,"weaklyNegative",-0.5995366334915161,"{""neutral"":0.0014393416931852698,""happy"":0.0018495462136343122,""anger/disgust"":0.9962655901908875,""sadness"":0.006810646969825029,""surprise"":0.0020370346028357744,""fear"":0.0005453738267533481}"
"শান্তিপূর্ণ গণতান্ত্রিক আন্দোলনকে স্বাগত যায় সহিংস আন্দোলনকে",,"stronglyNegative",-0.9902404546737671,"{""neutral"":0.003678933484479785,""happy"":0.005634196102619171,""anger/disgust"":0.9672068357467651,""sadness"":0.08617237210273743,""surprise"":0.005572616588324308,""fear"":0.008560685440897942}"
"আল্লাহর হুকুম জেদিকে পাশকোরবে",,"weaklyNegative",-0.424399185180664,"{""neutral"":0.8371486067771912,""happy"":0.0864822044968605,""anger/disgust"":0.07440830022096634,""sadness"":0.026394609361886978,""surprise"":0.02886912412941456,""fear"":0.011642547324299812}"
"গত ১৪ বছর গণঅভ্যুত্থান আন্দোলনের মনগড়া ভয় দেখিয়ে আসছে বিএনপি",,"stronglyNegative",-0.9998614311218261,"{""neutral"":0.004341806750744581,""happy"":0.0009966836078092456,""anger/disgust"":0.9755460023880005,""sadness"":0.03213408216834068,""surprise"":0.00925352331250906,""fear"":0.020944861695170403}"
"বর্তমানে বাংলাদেশের জনবিচ্ছিন্ন দল কর্তৃক তথাকথিত আন্দোলন অবরোধের নামে সহিংসতা ছড়ানো সমগ্র দেশবাসী বিশ্ব বিবেক তীব্র ধিক্কার জানিয়েছে",,"stronglyNegative",-0.9999364852905274,"{""neutral"":0.0009297928190790117,""happy"":0.0009853964438661933,""anger/disgust"":0.9898079037666321,""sadness"":0.0689072236418724,""surprise"":0.0018712281016632915,""fear"":0.004131689667701721}"
"দেশ বিএনপি জামাতের সন্ত্রাসীদের অভয়ারণ্যে পরিণত হয়েছে",,"stronglyNegative",-0.9999404907226562,"{""neutral"":0.0010259002447128296,""happy"":0.0004331020754761994,""anger/disgust"":0.9934647679328918,""sadness"":0.023690281435847282,""surprise"":0.0011085722362622619,""fear"":0.0018135226564481854}"
"বিএনপি আন্দোলনের নামে আগুন সন্ত্রাস জনগণের সম্পদ ধ্বংসের রাজনীতিই",,"stronglyNegative",-0.9999512672424317,"{""neutral"":0.0006468194187618792,""happy"":0.00040634427568875253,""anger/disgust"":0.9955472946166992,""sadness"":0.029388146474957466,""surprise"":0.0013859879691153765,""fear"":0.0012279528891667724}"
"আন্দোলন নামক নাশকতার আগুন খেললে পরিণতি শুভ বিএনপির",,"stronglyNegative",-0.999385404586792,"{""neutral"":0.002354420954361558,""happy"":0.002096937270835042,""anger/disgust"":0.9861788749694824,""sadness"":0.03884892165660858,""surprise"":0.002589120529592037,""fear"":0.003274236572906375}"
"বিএনপির হুংকার গাছে কাঁঠাল গোঁফে তেলের",,"stronglyNegative",-0.9864086389541626,"{""neutral"":0.002824739320203662,""happy"":0.0015075023984536529,""anger/disgust"":0.9902724623680115,""sadness"":0.017797136679291725,""surprise"":0.003038753755390644,""fear"":0.0011132551589980721}"
"বিএনপি অপশক্তি ঘাপটি মেরে বিশৃংখলা",,"stronglyNegative",-0.999911904335022,"{""neutral"":0.0012657943880185485,""happy"":0.00041518217767588794,""anger/disgust"":0.9951843619346619,""sadness"":0.010513468645513058,""surprise"":0.0010209131287410855,""fear"":0.0005099775735288858}"
"শেখ হাসিনা সরকার দরকার জয় বাংলা",,"stronglyPositive",0.9997144460678102,"{""neutral"":0.006627593655139208,""happy"":0.988401472568512,""anger/disgust"":0.006703609135001898,""sadness"":0.0012786826118826866,""surprise"":0.0003966510121244937,""fear"":0.00017448510334361345}"
"হটাও মাফিয়া বাঁচাও দেশ খালেদা জিয়ার বাংলাদেশ চট্টগ্রামে লাখো জনতার স্লোগান",,"stronglyNegative",-0.9971783399581909,"{""neutral"":0.0006761053809896111,""happy"":0.0005092882784083486,""anger/disgust"":0.9986292123794556,""sadness"":0.00330371898598969,""surprise"":0.0006947817164473236,""fear"":0.00012359346146695316}"
"সফল দোয়াও ভালো বাসা রইলো",,"stronglyPositive",0.9998985528945924,"{""neutral"":0.0014351275749504566,""happy"":0.9983115196228027,""anger/disgust"":0.00017122474673669785,""sadness"":0.000439471157733351,""surprise"":0.0003502193430904299,""fear"":0.000043366613681428134}"
"আওয়ামী লীগ সরকার দরকার",,"weaklyPositive",0.5973620891571045,"{""neutral"":0.0054114763624966145,""happy"":0.001516563119366765,""anger/disgust"":0.9906855225563049,""sadness"":0.004376045428216457,""surprise"":0.0009900639997795224,""fear"":0.00008283004717668518}"
"ইনশাআল্লাহ আসবে খালেদা জিয়া",,"weaklyPositive",0.5936327457427979,"{""neutral"":0.02854357659816742,""happy"":0.9754287004470825,""anger/disgust"":0.005057854577898979,""sadness"":0.0015577741432935,""surprise"":0.002188805490732193,""fear"":0.0003629168786574155}"
