,texts
207,শুভ কামনা রইল বিএনপি
208,আলহামদুলিল্লাহ জয় বিএনপি পাশেই আসবে
209,মানুষ কই খালি মাঠ ইসলামী আন্দোলন সামাবেশ চাইতে বড় খবর হাইরে রাজাকারের দল
210,ভালো আন্দোলনের নামে ভাঙচুর ধোলাই দরকার
211,এখনই সময় সন্ত্রাসী বাহিনীকে হটানো
212,আম্বালীগ মাঠে ছিলো নি
213,আল্লাহ সবাই হেপাজত করুন আমিন
214,অবৈধ হাসিনার শেষ বাংলাদেশ
215,বাস কোথায় বাঁশ ডলার বিকল্প
216,খেলা খেলা
217,কনটেন্ট এস্পেলিং ভুল সমাবশে নাহ সমাবেশে
218,সারাদিন গণপরিবহন বন্ধ হামলা করেও মানুষকে আটকাতে পারলো আওয়ামীলীগ
219,২০২৪ সালে হাসিনা সহো আওয়ামী লীগের সিলংকার জাইংগা খোলা ঘর টেনে হিসরে বের মারা আওয়ামী লীগ দের
220,এন নেতাদেন বলছি উপযুক্ত সময় মাজা শক্ত রাজপথে বাঙালি ৭০ শেখ হাসিনাকে চায়না সুয়োগ মিস
221,বড় জোর ৫ ১০ মানুষ বিএনপি স ন্ত্রাস বাহিনী জনগণ মুখ ফিরিয়ে নিচ্ছে বহিঃপ্রকাশ ধন্যবাদ চট্টগ্রাম বাসীকে
222,অভিযোগ বলছেন আপনাদের সাংবাদিক গুলো চোখ বন্ধ রাখে
223,এরাই যুগের বাংলাদেশের রাজনৈতিক যোদ্ধা সেলাম সৃষ্টিকর্তার চরণে
224,সবাই বাঁশ আনবেন সাথে
225,হামলার সকল অভিযোগ অসত্য বহুদলিয় গণতন্ত্রের প্রবর্তক আওয়ামীলীগ সরকার সকলের রাজনৈতীক গণতান্ত্রিক অধিকার নিশ্চিত কুচক্রী বিএনপি সমাবেশে জনগনের সমাগম ব্যর্থ হয়ে ব্যর্থতা আড়াল সকল মিথ্যা অভিযোগ
226,অভিযোগ বলবেন বলবে আওয়ামী লীগ যায়গায় যায়গায় এন কর্মীদেরকে আহত আওয়ামী লীগ
227,বিএনপিকে সময় আওয়ামী লীগের বিকল্প করিনা রাজনৈতিক দল হিসেবে দলই ব্যর্থ বর্তমান যুগের সাথে তাল মিলিয়ে মানুষের আশা আকাঙ্ক্ষার প্রতিফলন ঘটাতে পারবে রাজনৈতিক দলকেই মানুষের বেছে আওয়ামী লীগ বিএনপি দল
228,সবি শেখ হাসিনার চাল ঔ তো নাটের গুরু গদিতে জনগণককে ধংসের মুখে ফেলে দিচ্ছে তো মর শালা জনগণ মর তামাশা দেখি শেখ হাসিনার বাস্তবতা বুঝলে মানুষ
229,আওয়ামীলীগ এরকম বিপদে পরবে
230,নেতৃত্ব এমনই হও্যা উচিৎ ফক্রুল কিম্বা আমির খস্রুর মত সবজি মার্কা নেতৃত্ব এন চায় এগিয়ে যাও হুম্মাম
231,যতদিন পৃথিবী ততদিন নারায়ে তাকবীর আল্লাহু আকবার শ্লোগান
232,কষ্ট মিথ্যা মামলা দিয়ে ফাঁসি দিছে ইসলামের স্লোগান দিছে ধন্যবাদ
233,আল্লহু আকর আল্লহু আকবর আল্লহু আকবর
234,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার
235,আম গাছে জাম রাজাকারের বংশে রাজাকারই
236,রাজনৈতীক সমাবেশে ধর্মিয় স্লোগান প্রদান উদ্দেশ্য প্রনোদিত ছাড়া কিছুইনা দেশের সাম্প্রদায়িক পরিস্থিতিকে উসকে রাজাকারের বাচ্চা সকল উসকানি মূলক স্লোগান প্রদান
237,শয়তানের বাচ্চা শয়তানই
238,আল্লাহু আকবার বাপকা বেটা সাবাস বাঘের বাচ্চা
239,সুন্দর কথা ভাই
240,রায়ে তাকবির আল্লাহু আকবার
241,নারায়ে তাকবির আল্লাহু আকবার
242,লিল্লাহি তাকবির আল্লাহু আকবার
243,আল্লাহু আকবার টা ভালো লেগেছে
244,রাজাকার পুত্রের ভাসন বিএনপির সমাবেশে কেনো বিএনপি রাজাকার রাজনিতি
245,তোর রাজাকার বাবা সীমা অতিক্রম করেছিল আল্লাহ ফাঁসি শাস্তি সাবধান
246,রাজাকারের বাচ্চা রাজাকারই হয়েছে
247,আওয়ামিরা আসলেই মুনাফিক আল্লার নাম নিলেই আওয়ামিদের জ্বলে
248,আচ্ছা আল্লার নাম নিলেই আওয়ামিরা জ্বলে
249,নারায়ে তাকবীর আল্লাহু আকবার
250,নব্যরাজাকার তৈরি সমূলে উতপাটন দরকার
251,একেই বাংলা জনগণের ছেলে বাপের ছেলে বাপের মতই মানুষের ভালোবাসায় এগিয়ে পুরো চট্টগ্রাম
252,ওরে পাগলা লাফালাফি বাবার পথে
253,আল্লাহুআকবর মুমিন স্লোগান আল্লাহুআকবর ধ্বনি শুনলে কাফের মুশরিকদের অন্তর আত্মা কাপিয়ে উঠে
254,বির বাবার বির ছেলে
255,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার
256,ইনশাআল্লাহ পালাবার পথ পাইবেনা কুত্তা লীক
257,ইসলামের স্লোগান দিছে ধন্যবাদ
258,নারায়ে তাকবীর আল্লাহ আকবার
259,আল্লাহু আকবার শুনতে ভালো লাগে
260,রাজাকার পুত্র পাকিস্তানের স্লোগান দেবে পাকিস্তান জিন্দাবাদ বলবে সবই স্বাভাবিক বাপ দাদারাও স্লোগান এদেশে কয়েম চেয়েছিলো
261,বাপের বেটা সারা বাংলাদেশের মুসলমান হুমমাম কাদেরের ধনিতে সহমত
262,এরকম নেতাদের তু বাংলাদেশে দরকার
263,নারায় তাকবির আল্লাহু আকবর
264,রক্ত গরম স্লোগান
265,আল্লাহর তপিক বিজয় ইনশাআল্লাহ লাটি নিয়া নামবেন বিজয় ইনশাআল্লাহ
266,রাজাকারের পোলা আওয়ামীলীগ সরকারকে ধমক দেয় দেখছি তোর বাপ সারাজীবন অশ্লীল দিছে কোনদিন নারায়ে তাকবীর স্লোগান দিছে ব্যাটা মিথ্যুক দেয়ালে পিঠ ঠেকে যায় ধর্ম ব্যাবহার তোমাদের অভ্যাস
267,নারায়ে তাকবির আল্লাহু আকবার
268,নারায়ে তাকবীর আল্লাহু আকবার
269,নারায়ে তাকবীর আল্লাহু আকবার
270,নারায়ে তাকবীর আল্লাহু আকবার
271,নারায়ে তাকবীর আল্লাহু আকবার
272,নারায়ে তাকবীর আল্লাহু আকবার
273,নারায়ে তাকবির আল্লাহু আকবার
274,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার
275,তোরা গুন্ডা কথা শুনলেই বোঝা যায়
276,লিল্লাহি তাকবীর আল্লাহু আকবার
277,সুন্দর সোগান
278,স্লোগান দেয়ার জনপ্রিয়তা বেড়ে যাই বলুক বাংলাদেশের জনগণ
279,গাদদার বেয়াদবের বাচ্চা
280,আল্লাহর পথে এগিয়ে যাও কুওালীগ হতাও
281,আলহামদুলিল্লাহ এন জিন্দাবাদ আওয়ামী লীগ পায়েন্দাবাদ
282,আওয়ামী লীগের মগা চুদা গুলো বলো দেশে কারা
283,বিএনপিকে মানুষ ভোট দিবে বাসা পিরোজপুর জেলায় স্কুলে পড়তাম বাসায় বিদ্যুতের লাইনই ছিলো বাজারে স্কুলে বিদ্যুতের লাইন ছিলো দিনে ১৬ ঘন্টা থাকতো হাটু সমান কাঁদার রাস্তা হেটে স্কুলে লাগতো বাসা থানায় যাওয়ার পাকা রাস্তা ছিলো হাস্পাতালে সিট ছিলো ব্রিজগুলো ছিলো নড়বড়ে এক সাথে সকল মোয়া পাওয়া যায় মানুষের চাহিদা ছিলো ভাত ডালের মানুষের চাহিদা বাড়ি গাড়ি বিলাশিতা চাইলেই ৫০০ ১০০০ টাকা পেয়ে বাপ মায়ের স্কুলে যাওয়ার সময় ২ টাকা চাইলে বাপ মায়ের দেওয়ার সামর্থ্য বলবেন টাকার মান কমে আরেহ ভাই টাকাইতো ছিলো
284,লেবাস ধারী পুলিশ লীগ দের দেশ জুতা পায়ে লাথি মারতে মারতে দেশ বের করোনার চেয়েও বড় ভাইরাস হে আল্লাহ করুন সর্বনাশ আমিন
285,সাবাস বিএনপি এদেশের জনগণ তোমাদের সাথে এগিয়ে চলো
